country,iso3,gdp_per_capita
Albania,ALB,11377.7757431099
Algeria,DZA,5752.99076651465
Andorra,AND,49303.6491674336
Angola,AGO,2665.87444776753
Antigua and Barbuda,ATG,23542.4526945578
Argentina,ARG,13969.7836603737
Armenia,ARM,8556.21406956719
Aruba,ABW,39498.5941293797
Australia,AUS,64603.9856308464
Austria,AUT,58268.8787651601
Azerbaijan,AZE,7283.8499076179
"Bahamas, The",BHS,39455.4466548546
Bahrain,BHR,29653.5682731534
Bangladesh,BGD,2593.41611680774
Barbados,BRB,26544.8707282621
Belarus,BLR,8317.63399913792
Belgium,BEL,56614.5679499036
Belize,BLZ,7681.24400583113
Benin,BEN,1485.38018885134
Bermuda,BMU,142855.374713782
Bolivia,BOL,4421.16609889999
Bosnia and Herzegovina,BIH,9358.78768951134
Botswana,BWA,7695.75319445165
Brazil,BRA,10310.5488778166
Brunei Darussalam,BRN,33153.4738913513
Bulgaria,BGR,17596.0173663521
Burkina Faso,BFA,981.992649769081
Burundi,BDI,219.424830882698
Cabo Verde,CPV,5192.48157325878
Cambodia,KHM,2627.87969756224
Cameroon,CMR,1830.00833684727
Canada,CAN,54340.3477224733
Central African Republic,CAF,516.160999996036
Chad,TCD,961.55975562506
Chile,CHL,16709.8893972307
China,CHN,13303.1481543868
Colombia,COL,7919.20886825345
Comoros,COM,1662.75663312504
"Congo, Dem. Rep.",COD,649.383338556725
"Congo, Rep.",COG,2482.2489948456
Costa Rica,CRI,18587.1532203482
Cote d'Ivoire,CIV,2727.8935220697
Croatia,HRV,24050.4397933135
Curacao,CUW,22832.8953958667
Cyprus,CYP,38674.29296875
Czechia,CZE,31823.3078290564
Denmark,DNK,71026.4832271897
Djibouti,DJI,3552.72335079222
Dominica,DMA,10405.2787777582
Dominican Republic,DOM,10875.6618443092
Ecuador,ECU,6874.705739766
"Egypt, Arab Rep.",EGY,3338.47371395895
El Salvador,SLV,5579.65969165029
Equatorial Guinea,GNQ,6745.40013244916
Estonia,EST,31428.3547816104
Eswatini,SWZ,3909.55892378182
Ethiopia,ETH,1133.88279681719
Faroe Islands,FRO,74119.6607553879
Fiji,FJI,6425.74151715712
Finland,FIN,53149.7671934051
France,FRA,46103.0840855884
French Polynesia,PYF,22439.8838746025
Gabon,GAB,8230.04311451151
"Gambia, The",GMB,871.340291776294
Georgia,GEO,9241.49122313713
Germany,DEU,56103.7323182554
Ghana,GHA,2390.77237652715
Greece,GRC,24626.1481858973
Grenada,GRD,11705.0902976658
Guatemala,GTM,6150.02571438505
Guinea,GIN,1694.95375862193
Guinea-Bissau,GNB,1007.74151728028
Guyana,GUY,29675.2443873316
Haiti,HTI,2142.62330526788
Honduras,HND,3426.43483328923
"Hong Kong SAR, China",HKG,54074.6928519479
Hungary,HUN,23292.3263882478
Iceland,ISL,86040.5309851288
India,IND,2694.73780859961
Indonesia,IDN,4925.43048751861
"Iran, Islamic Rep.",IRN,5190.16959024821
Iraq,IRQ,6073.61032342708
Ireland,IRL,112894.953240805
Israel,ISR,54176.6844383302
Italy,ITA,40385.3413957669
Jamaica,JAM,7753.8006955432
Japan,JPN,32487.0778047567
Jordan,JOR,4618.09592498567
Kazakhstan,KAZ,14154.6324958076
Kenya,KEN,2132.43452097647
Kiribati,KIR,2288.63471423684
"Korea, Rep.",KOR,36238.639908315
Kosovo,XKX,7023.06598512878
Kuwait,KWT,32717.7186631255
Kyrgyz Republic,KGZ,2420.18542283831
Lao PDR,LAO,2123.97909415109
Latvia,LVA,23409.0845154775
Lesotho,LSO,971.90771824829
Liberia,LBR,851.497723870206
Libya,LBY,6569.16408678648
Lithuania,LTU,29384.0189598663
Luxembourg,LUX,137781.681659123
"Macao SAR, China",MAC,72004.7437020733
Madagascar,MDG,544.987501003384
Malawi,MWI,522.570393642547
Malaysia,MYS,11874.4273684245
Maldives,MDV,13379.3513577224
Mali,MLI,1094.61949265799
Malta,MLT,43898.5781808597
Marshall Islands,MHL,7726.33668877794
Mauritania,MRT,2110.12036938187
Mauritius,MUS,11990.7798944837
Mexico,MEX,14185.7812248529
"Micronesia, Fed. Sts.",FSM,4166.00476748564
Moldova,MDA,7576.19589413326
Monaco,MCO,288001.433369041
Mongolia,MNG,6750.6301157724
Montenegro,MNE,13263.3281277699
Morocco,MAR,4153.1943359375
Mozambique,MOZ,656.776824637306
Myanmar,MMR,1359.05001560107
Namibia,NAM,4413.12752211572
Nauru,NRU,13609.158837552
Nepal,NPL,1447.31004458428
Netherlands,NLD,67520.4218956281
New Caledonia,NCL,29213.1923192946
New Zealand,NZL,49205.1792146792
Nicaragua,NIC,2847.53966339498
Niger,NER,735.270255787226
Nigeria,NGA,1084.16041805436
North Macedonia,MKD,9291.85661671864
Norway,NOR,86785.4334489176
Oman,OMN,20285.2272897377
Pakistan,PAK,1478.77277977996
Panama,PAN,19161.2188501596
Papua New Guinea,PNG,3006.70564478923
Paraguay,PRY,6416.09708970845
Peru,PER,8452.37167056621
Philippines,PHL,3984.8315387656
Poland,POL,25103.565661423
Portugal,PRT,29292.242104753
Puerto Rico (US),PRI,39343.7154660139
Qatar,QAT,76688.6941743178
Romania,ROU,20080.2096215595
Russian Federation,RUS,14889.0185546875
Rwanda,RWA,999.65456165547
Samoa,WSM,5392.87761915762
Sao Tome and Principe,STP,3490.56883486557
Saudi Arabia,SAU,35121.6628687742
Senegal,SEN,1773.21829923448
Serbia,SRB,13679.2065983557
Seychelles,SYC,17858.8226383978
Sierra Leone,SLE,806.654650417726
Singapore,SGP,90674.066632628
Sint Maarten (Dutch part),SXM,41472.5874498583
Slovak Republic,SVK,25992.6748502048
Slovenia,SVN,34301.0318686594
Solomon Islands,SLB,1933.55538435227
